Name,Token Address,Num Holders
Tether USDt,0xdac17f958d2ee523a2206206994597c13d831ec7,5125112.0
Augur,0x1985365e9f78359a9B6AD760e32412f4a445E862,18914.0
Pluton,0xd8912c10681d8b21fd3742244f44658dba12264e,17926.0
Golem,0x7DD9c5Cba05E151C895FDe1CF355C9A1D5DA6429,19448.0
Wings,0x667088b212ce3d06a1b553a7221E1fD19000d9aF,11313.0
Maker,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,99253.0
iExec RLC,0x607f4c5bb672230e8672085532f7e901544a7375,24044.0
Gnosis,0x6810e776880c02933d47db1b9fc05908e5386b96,20203.0
Aragon,0xa117000000f279d81a1d3cc75430faa017fa5a2e,15161.0
Basic Attention Token,0x0d8775f648430679a709e98d2b0cb6250d2887ef,445264.0
Veritaseum,0x8f3470A7388c05eE4e7AF3d01D8C722b0FF52374,26315.0
Bancor,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,39922.0
Numeraire,0x1776e1F26f98b1A5dF9cD347953a26dd3Cb46671,37630.0
FUNToken,0x419d0d8bdd9af5e606ae2232ed285aff190e711b,90911.0
TenX,0xb97048628db6b661d4c2aa833e95dbe1a905b280,56933.0
Status,0x744d70fdbe2ba4cf95131626614a1763df805b9e,83136.0
Storj,0xb64ef51c888972c908cfacf59b47c1afbc0ab8ac,94267.0
Polybius,0x0affa06e7fbe5bc9a764c979aa66e8256a631f02,15152.0
Metal DAO,0xF433089366899D83a9f26A773D59ec7eCF30355e,12776.0
Populous,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,29205.0
OMG Network,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,688161.0
Civic,0x41e5560054824ea6b0732e656e3ad64e20e94e45,66150.0
Pillar,0xe3818504c1b32bf1557b16c238b2e01fd3149c17,22075.0
district0x,0x0abdace70d3790235af448c88547603b945604ea,44663.0
Stox,0x006BeA43Baa3f7A6f765F14f10A1a1b08334EF45,18894.0
Dentacoin,0x08d32b0da63e2C3bcF8019c9c5d849d7a9d791e6,55561.0
Dent,0x3597bfd533a99c9aa083587b074434e61eb0a258,85444.0
0x Protocol,0xe41d2489571d322189246dafa5ebde1f4699f498,195517.0
Waltonchain,0xb7cb1c96db6b22b0d3d9536e0108d062bd488f74,24170.0
Primas,0x5d4abc77b8405ad177d8ac6682d584ecbfd46cec,14992.0
Loopring,0xbbbbca6a901c926f240b89eacb641d8aec7aeafd,168893.0
Po.et,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,19609.0
Decentraland,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,308833.0
